TeamAge,Gender,total_records
Academy,FEMALE,211
Academy,MALE,287
"All Stars",FEMALE,70
"All Stars",MALE,75
Camp,FEMALE,560
Camp,MALE,763
G4D&L,MALE,9
G4M&O,FEMALE,808
G4M&O,MALE,65
Intermediate,FEMALE,1546
Intermediate,MALE,1362
Junior,FEMALE,3235
Junior,MALE,1991
Senior,FEMALE,4514
Senior,MALE,5874
U10,FEMALE,5581
U10,MALE,6272
U11,FEMALE,11504
U11,MALE,30008
U12,FEMALE,4445
U12,MALE,4524
U13,FEMALE,9795
U13,MALE,31827
U14,FEMALE,3028
U14,MALE,1362
U15,FEMALE,8340
U15,MALE,29798
U16,FEMALE,2045
U16,MALE,799
U17,FEMALE,5446
U17,MALE,24161
U18,FEMALE,1467
U18,MALE,273
U19,FEMALE,92
U19,MALE,179
U20,FEMALE,1
U20,MALE,14
U5,FEMALE,1834
U5,MALE,3011
U6,FEMALE,4784
U6,MALE,5933
U7,FEMALE,9557
U7,MALE,22741
U8,FEMALE,4421
U8,MALE,5384
U9,FEMALE,10918
U9,MALE,28261
